,Name,Seats,Country Code,Population
0,United Kingdom,2042755,GBR,67326569.0
1,Spain,1542659,ESP,47415750.0
2,USA,995647,USA,331893745.0
3,Italy,650027,ITA,59109668.0
4,Germany,578800,DEU,83196078.0
5,France,556444,FRA,67749632.0
6,Switzerland,457008,CHE,8703405.0
7,Netherlands,425842,NLD,17533044.0
8,Portugal,372173,PRT,10325147.0
9,Poland,371600,POL,37747124.0
10,United Arab Emirates,333472,ARE,9365145.0
11,Denmark,166041,DNK,5856733.0
12,Romania,162993,ROU,19119880.0
13,India,162545,IND,1407563842.0
14,Austria,154651,AUT,8955797.0
15,Norway,148576,NOR,5408320.0
16,Qatar,132484,QAT,2688235.0
17,Sweden,122249,SWE,10415811.0
18,Canada,120778,CAN,38246108.0
19,Greece,119964,GRC,10641221.0
20,Hungary,97464,HUN,9709891.0
21,Morocco,92287,MAR,37076584.0
22,Cyprus,85873,CYP,1244188.0
23,Singapore,79745,SGP,5453566.0
24,Egypt,79327,EGY,109262178.0
25,Belgium,77575,BEL,11592952.0
26,Iceland,72711,ISL,372520.0
27,Bulgaria,70701,BGR,6877743.0
28,Israel,70422,ISR,9364000.0
29,South Africa,64036,ZAF,59392255.0
30,Barbados,59988,BRB,281200.0
31,Finland,53024,FIN,5541017.0
32,Malta,52080,MLT,518536.0
33,Lithuania,45655,LTU,2800839.0
34,Saudi Arabia,44479,SAU,35950396.0
35,Latvia,37531,LVA,1884490.0
36,Mexico,37145,MEX,126705138.0
37,Australia,35029,AUS,25688079.0
38,Thailand,33689,THA,71601103.0
39,Brazil,27650,BRA,214326223.0
40,Japan,27224,JPN,125681593.0
41,Bahrain,27191,BHR,1463265.0
42,Luxembourg,26162,LUX,640064.0
43,Nigeria,26009,NGA,213401323.0
44,Kuwait,25851,KWT,4250114.0
45,Slovakia,25838,SVK,5447247.0
46,Jamaica,22753,JAM,2827695.0
47,Albania,22651,ALB,2811666.0
48,Croatia,20596,HRV,3899000.0
49,Kenya,18552,KEN,53005614.0
50,Gibraltar,18006,GIB,32669.0
51,Malaysia,17732,MYS,33573874.0
52,Bangladesh,17396,BGD,169356251.0
53,Jordan,16898,JOR,11148278.0
54,Ethiopia,16144,ETH,120283026.0
55,Serbia,14397,SRB,6834326.0
56,Saint Lucia,14324,LCA,179651.0
57,Tunisia,13183,TUN,12262946.0
58,China,12496,CHN,1412360000.0
59,Mauritius,11874,MUS,1266060.0
60,Sri Lanka,11286,LKA,22156000.0
61,Dominican Republic,11135,DOM,11117873.0
62,Viet Nam,11043,VNM,97468029.0
63,Bahamas,10882,BHS,407906.0
64,Pakistan,10824,PAK,231402117.0
65,Ghana,10261,GHA,32833031.0
66,Lebanon,9920,LBN,5592631.0
67,Oman,8928,OMN,4520471.0
68,Trinidad and Tobago,8532,TTO,1525663.0
69,Estonia,8187,EST,1330932.0
70,Colombia,7750,COL,51516562.0
71,Maldives,7468,MDV,521457.0
72,Algeria,7270,DZA,44177969.0
73,Argentina,6879,ARG,45808747.0
74,Cayman Islands,6282,CYM,68136.0
75,Slovenia,5955,SVN,2108079.0
76,Bermuda,5641,BMU,63867.0
77,Montenegro,5566,MNE,619211.0
78,Costa Rica,4601,CRI,5153957.0
79,Kazakhstan,4316,KAZ,19000988.0
80,Rwanda,4148,RWA,13461888.0
81,Brunei Darussalam,3810,BRN,445373.0
82,Gambia,3402,GMB,2639916.0
83,Chile,3024,CHL,19493184.0
84,North Macedonia,2947,MKD,2065092.0
85,Turks and Caicos Islands,2748,TCA,45114.0
86,Bosnia and Herzegovina,2429,BIH,3270943.0
87,Azerbaijan,2040,AZE,10137750.0
88,Uzbekistan,1692,UZB,34915100.0
89,Sudan,1260,SDN,45657202.0
90,Cuba,1200,CUB,11256372.0
91,Senegal,756,SEN,16876720.0
92,Aruba,672,ABW,106537.0
93,Guyana,672,GUY,804567.0
94,Faroe Islands,174,FRO,52889.0
